titles,links,time,media
高雄藍綠對決造勢 2000警力與偵爆犬進駐維安 ,https://www.chinatimes.com/realtimenews/20200110002850-260402,2020/01/10,China Times
認同自家人嗆郭？ 柯文哲：沒有辦法回答的題目,https://www.chinatimes.com/realtimenews/20200110003069-260407,2020/01/10,China Times
卓榮泰陳其邁陪蔡培慧車隊掃街 衝刺選情,https://www.chinatimes.com/realtimenews/20200110002029-260407,2020/01/10,China Times
新北兩任市長聯手 板橋接力掃街催票,https://www.chinatimes.com/realtimenews/20200110002026-260407,2020/01/10,China Times
韓國瑜凱道造勢 人潮竟滿到這裡,https://www.chinatimes.com/realtimenews/20200110000017-260407,2020/01/10,China Times
律師PO韓凱道空拍圖 網震撼驚呼：國瑜障礙！,https://www.chinatimes.com/realtimenews/20200110001511-260407,2020/01/10,China Times
 韓競欲協尋卡神 批網軍抹黑韓造勢發走路工,https://www.chinatimes.com/realtimenews/20200110002292-260407,2020/01/10,China Times
綠營凱道選前之夜鄭文燦細數蔡政府政績,https://www.chinatimes.com/realtimenews/20200110004053-260407,2020/01/10,China Times
蔡適應、陳志成攜手愛基隆大遊行,https://www.chinatimes.com/realtimenews/20200110003039-260405,2020/01/10,China Times
正妹畫家因這件事替蔡總統拉票　哽咽呼籲：不想下次回家人事已非,https://www.chinatimes.com/realtimenews/20200110004117-260407,2020/01/10,China Times
基隆港都選前之夜大遊行 蔡適應「黃金拍檔」攜手愛基隆,https://www.chinatimes.com/realtimenews/20200110004092-260407,2020/01/10,China Times
基隆》綠營大團結 蔡適應、陳志成攜手愛基隆大遊行,https://www.chinatimes.com/realtimenews/20200110002187-260407,2020/01/10,China Times
蔡正元所提承諾 蔡辦要國民黨說明是否知情,https://www.chinatimes.com/realtimenews/20200110002781-260407,2020/01/10,China Times
無色覺醒》周錫瑋：民進黨怕什麼？ 就怕這三種人！,https://www.chinatimes.com/opinion/20200110000009-262115,2020/01/10,China Times
前英粉看選情：小英無力回天了！,https://www.chinatimes.com/realtimenews/20200110001632-260407,2020/01/10,China Times
投票日看開票 YouTube首頁10大新聞台直播看得到,https://www.chinatimes.com/realtimenews/20200110003425-260412,2020/01/10,China Times
韓凱道造勢為何成功？謝龍介這樣說,https://www.chinatimes.com/realtimenews/20200110002864-260407,2020/01/10,China Times
韓造勢大爆滿 韓黑嘆：我妹動搖要投韓,https://www.chinatimes.com/realtimenews/20200110000981-260407,2020/01/10,China Times
韓造勢大爆滿 韓黑焦慮喊：睡不著,https://www.chinatimes.com/realtimenews/20200110001426-260407,2020/01/10,China Times
選前最後1天 張嘉郡前進對手大本營拜票,https://www.chinatimes.com/realtimenews/20200110001668-260407,2020/01/10,China Times
萬美玲掃街 村長開直播相挺,https://www.chinatimes.com/realtimenews/20200110002235-260407,2020/01/10,China Times
投票率預估會衝高 700萬票可當選下屆總統,https://www.chinatimes.com/realtimenews/20200110001904-260407,2020/01/10,China Times
馬英九輔選賴士葆 面對選情審慎樂觀,https://www.chinatimes.com/realtimenews/20200110001480-260407,2020/01/10,China Times
金門查獲選舉賭盤 追上游網站和資金來源,https://www.chinatimes.com/realtimenews/20200110002438-260407,2020/01/10,China Times
宋楚瑜呼籲選民用選票證明不被外來勢力操控,https://www.chinatimes.com/realtimenews/20200110003062-260407,2020/01/10,China Times
返鄉班機上的一句話 全機的韓粉眼眶都紅了,https://www.chinatimes.com/realtimenews/20200110001247-260407,2020/01/10,China Times
選前最後衝刺 呂國華獲林姿妙加持狂掃街,https://www.chinatimes.com/realtimenews/20200110002661-260407,2020/01/10,China Times
