titles,links,time,media
大聯合政府讚,https://news.ltn.com.tw/news/opinion/paper/553742,2012-01-12,Liberal Times
3總統選將「個性劍獅」小英築夢實事求是,https://news.ltn.com.tw/news/local/paper/553738,2012-01-12,Liberal Times
《緊咬媽祖園區》楊曜批縣長浪費公帑,https://news.ltn.com.tw/news/local/paper/553732,2012-01-12,Liberal Times
催票總動員 綠議員促力保5席全上,https://news.ltn.com.tw/news/local/paper/553729,2012-01-12,Liberal Times
阿伯舉旗 批「馬」無能,https://news.ltn.com.tw/news/local/paper/553723,2012-01-12,Liberal Times
屏東大團結 綠拚立委衝衝衝,https://news.ltn.com.tw/news/local/paper/553722,2012-01-12,Liberal Times
投給台灣 就對了,https://news.ltn.com.tw/news/opinion/paper/553695,2012-01-12,Liberal Times
藍綠爭吃橘 李建昌蔡正元搶攻黃珊珊票源,https://news.ltn.com.tw/news/local/paper/553683,2012-01-12,Liberal Times
粗暴阻拜票？ 何博文控訴 警防堵過當,https://news.ltn.com.tw/news/local/paper/553680,2012-01-12,Liberal Times
黃昆輝：挺台商 就投蔡,https://news.ltn.com.tw/news/focus/paper/553669,2012-01-12,Liberal Times
駁九二共識 學者：馬恐嚇性語言,https://news.ltn.com.tw/news/focus/paper/553668,2012-01-12,Liberal Times
蔡：再次政黨輪替 走向真正民主,https://news.ltn.com.tw/news/focus/paper/553667,2012-01-12,Liberal Times
【冷眼冷語】,https://news.ltn.com.tw/news/opinion/paper/553662,2012-01-12,Liberal Times
我對國民黨忍無可忍了,https://news.ltn.com.tw/news/opinion/paper/553660,2012-01-12,Liberal Times
台灣共產 軍公教最慘,https://news.ltn.com.tw/news/opinion/paper/553656,2012-01-12,Liberal Times
新埔遠化投票只給2小時？ 引抗議,https://news.ltn.com.tw/news/politics/paper/553645,2012-01-12,Liberal Times
台南街友餐會發馬平安符 賴清德：不尊重出席者,https://news.ltn.com.tw/news/politics/paper/553644,2012-01-12,Liberal Times
台北大造勢 宋疾呼支持者歸隊,https://news.ltn.com.tw/news/politics/paper/553636,2012-01-12,Liberal Times
藍衝刺目標︰新北贏20萬 宜蘭輸2萬內,https://news.ltn.com.tw/news/politics/paper/553635,2012-01-12,Liberal Times
向選民召喚 馬︰我做得好好的 幹嘛換,https://news.ltn.com.tw/news/politics/paper/553634,2012-01-12,Liberal Times
「大聯合」擊破「馬怪獸」,https://news.ltn.com.tw/news/opinion/paper/553618,2012-01-12,Liberal Times
駁「棄王保馬」 王廷升怒斥對手奧步,https://news.ltn.com.tw/news/local/paper/553614,2012-01-12,Liberal Times
投123護台灣 游錫（方方土）籲宜蘭大團結,https://news.ltn.com.tw/news/local/paper/553612,2012-01-12,Liberal Times
馬英九基隆拜票 呼籲師傅不要換,https://news.ltn.com.tw/news/local/paper/553610,2012-01-12,Liberal Times
最後衝刺／英嘉分進合擊 苗栗聲聲催票,https://news.ltn.com.tw/news/local/paper/553608,2012-01-12,Liberal Times
吳敦義衝票 放利多打政績牌,https://news.ltn.com.tw/news/local/paper/553604,2012-01-12,Liberal Times
郭俊銘、江啟臣 互批抹黑,https://news.ltn.com.tw/news/local/paper/553590,2012-01-12,Liberal Times
《競總主委估選情》藍想贏5萬票 綠要打平或小贏,https://news.ltn.com.tw/news/local/paper/553583,2012-01-12,Liberal Times
《吳揆故鄉戰》近年重大選舉得票 藍消綠長,https://news.ltn.com.tw/news/local/paper/553582,2012-01-12,Liberal Times
漁船補助用油調降 漁民罵,https://news.ltn.com.tw/news/life/paper/553526,2012-01-12,Liberal Times
總統大選》蔡推「大聯合政府」　給人民幸福,https://news.ltn.com.tw/news/politics/breakingnews/591612,2012-01-11,Liberal Times
總統大選》遇馬遭警推走　何博文怒批：警察國家,https://news.ltn.com.tw/news/politics/breakingnews/591566,2012-01-11,Liberal Times
馬英九晚間基隆掃街　遭嗆下台,https://news.ltn.com.tw/news/politics/breakingnews/591548,2012-01-11,Liberal Times
總統大選》藍選得辛苦　宋批馬搞壞黨內氣氛,https://news.ltn.com.tw/news/politics/breakingnews/591494,2012-01-11,Liberal Times
總統大選》台商頻受害　黃昆輝批馬軟弱,https://news.ltn.com.tw/news/politics/breakingnews/591478,2012-01-11,Liberal Times
總統選舉》周美青掃街被嗆　民眾甩手拒握,https://news.ltn.com.tw/news/politics/breakingnews/591356,2012-01-11,Liberal Times
沒九二共識兩岸關係會倒退　吳榮義︰恐嚇,https://news.ltn.com.tw/news/politics/breakingnews/591299,2012-01-11,Liberal Times
總統大選》投票倒數　網友kuso海報令人噴飯,https://news.ltn.com.tw/news/politics/breakingnews/591206,2012-01-11,Liberal Times
選戰倒數 藍綠都喊防奧步,https://news.ltn.com.tw/news/politics/paper/553507,2012-01-11,Liberal Times
唐榮工會批官派老總 幫馬輔選,https://news.ltn.com.tw/news/politics/paper/553506,2012-01-11,Liberal Times
棄中保台,https://news.ltn.com.tw/news/opinion/paper/553503,2012-01-11,Liberal Times
英嘉南市贏26萬票 賴清德有信心,https://news.ltn.com.tw/news/local/paper/553489,2012-01-11,Liberal Times
小英姊妹會上菜 喚遊子返鄉,https://news.ltn.com.tw/news/local/paper/553488,2012-01-11,Liberal Times
ECFA減免關稅 去年僅1 .14美億美元,https://news.ltn.com.tw/news/business/paper/553445,2012-01-11,Liberal Times
旁觀者清,https://news.ltn.com.tw/news/opinion/paper/553433,2012-01-11,Liberal Times
蘇貞昌力薦李建昌,https://news.ltn.com.tw/news/local/paper/553417,2012-01-11,Liberal Times
固票戰旗紛出 小英也拜託,https://news.ltn.com.tw/news/local/paper/553415,2012-01-11,Liberal Times
馬新北新竹掃街 凍蒜聲！一路相隨,https://news.ltn.com.tw/news/focus/paper/553405,2012-01-11,Liberal Times
蔡嘉義縣市造勢 總統好！震天價響,https://news.ltn.com.tw/news/focus/paper/553404,2012-01-11,Liberal Times
馬：民眾要的是廉能非聯合政府,https://news.ltn.com.tw/news/focus/paper/553402,2012-01-11,Liberal Times
蔡問馬：國共可擁抱 朝野不能談？,https://news.ltn.com.tw/news/focus/paper/553400,2012-01-11,Liberal Times
【林保華專欄】台灣人拒做太監！,https://news.ltn.com.tw/news/opinion/paper/553398,2012-01-11,Liberal Times
共產黨不可能…,https://news.ltn.com.tw/news/opinion/paper/553393,2012-01-11,Liberal Times
國際團觀選 公選會籲 關注中國介入動作,https://news.ltn.com.tw/news/politics/paper/553366,2012-01-11,Liberal Times
藍估18萬中國台商返台,https://news.ltn.com.tw/news/politics/paper/553361,2012-01-11,Liberal Times
黃昆輝：國民黨太傾中 選情差,https://news.ltn.com.tw/news/politics/paper/553360,2012-01-11,Liberal Times
宋重砲轟馬︰整碗捧去 造成政爭內鬥,https://news.ltn.com.tw/news/politics/paper/553359,2012-01-11,Liberal Times
統與獨的分水嶺,https://news.ltn.com.tw/news/opinion/paper/553337,2012-01-11,Liberal Times
催票 馬英九掃遍竹縣市,https://news.ltn.com.tw/news/local/paper/553321,2012-01-11,Liberal Times
豐富園區 徐中雄會勘趕進度,https://news.ltn.com.tw/news/local/paper/553297,2012-01-11,Liberal Times
總統大選》再拋「聯合政府」　小英：大家要團結,https://news.ltn.com.tw/news/politics/breakingnews/591018,2012-01-10,Liberal Times
今日各報重點新聞一覽,https://news.ltn.com.tw/news/politics/breakingnews/590753,2012-01-10,Liberal Times
殲滅對手,https://news.ltn.com.tw/news/opinion/paper/553238,2012-01-10,Liberal Times
