titles,links,content,time,media
高市綠營目標 小英96萬票起跳,https://news.ltn.com.tw/news/local/paper/553961,"〔記者侯承旭、蔡清華／高雄報導〕民進黨設定蔡英文在高雄市要贏馬英九二十二萬票，若以選舉人數與投票率換算，英嘉配得票數必須從九十六萬票起跳，藍營則希望將藍綠得票差距，壓在十萬票以內。
國民黨盼差距壓在1...",2012/1/13,Liberal Times
市區遊行！綠今秀大團結 藍喊保馬挺王,https://news.ltn.com.tw/news/local/paper/553957,"情喊出「蘇震清受到對手攻擊，有落選的危險！」，希望鄉親要全力支持蘇震清，也要力挺屏東的女兒蔡英文。
遊行還到竹田鄉、潮州鎮，全力固票，今晚選前之夜則分別在內埔鄉、潮州鎮舉行。
無黨籍立委候選人吳亮慶...",2012/1/13,Liberal Times
公辦政見會錄影//曾智勇求變 簡東明自清,https://news.ltn.com.tw/news/local/paper/553956,"與修法，請原住民同胞給他這位唯一民進黨提名的山地立委機會，也要支持有排灣族血統的總統候選人蔡英文，蔡當選一定會更加尊重原住民。
國民黨候選人簡東明則表示，原住民應該自治自覺，自治才能保障生存與發展，政...",2012/1/13,Liberal Times
選情緊繃 簡余晏、羅淑蕾告急 感性催票,https://news.ltn.com.tw/news/local/paper/553916,"明，讓人一看便知訴求目的，也感受她們理性、君子之爭的一面。
簡余晏以她及民進黨總統候選人蔡英文名義，在選區幹道路口插設粉底白字「為權益，總動員」、「感謝相挺，簡余晏鞠躬」旗幟；羅淑蕾則在路邊懸掛紅底白...",2012/1/13,Liberal Times
決戰時刻 藍綠總動員 全面催票,https://news.ltn.com.tw/news/local/paper/553915,〕選舉倒數計時，候選人全面催票！新北市第四選區民進黨立委候選人林濁水，今天下午與總統候選人蔡英文進行車隊掃街，國民黨的李鴻鈞將在南、北新莊各辦一場大會師造勢活動；第一選區民進黨立委選將何博文及國民黨的吳...,2012/1/13,Liberal Times
南方朔疾呼︰台灣必須改變,https://news.ltn.com.tw/news/focus/paper/553904,"記者鄒景雯／專訪
政論家南方朔近日公開宣布這次大選將挺蔡英文不挺馬，引起矚目。他昨天受訪強調，台灣民主已走到了倒退期，台灣必須有所改變，總統大選是高層次的選舉，整個國民黨除了罵人、嚇人，居然拿不出一點...",2012/1/13,Liberal Times
李遠哲站台 率上百學者挺小英,https://news.ltn.com.tw/news/focus/paper/553903,〔記者陳慧萍／台中報導〕諾貝爾獎得主、前中研院長李遠哲昨晚偕同夫人吳錦麗現身蔡英文造勢會場公開相挺，他以自身和蔡相處經驗，強調蔡英文具備優秀領導人的特質，在她隨和的笑臉下，有非常堅強的意志力，也...,2012/1/13,Liberal Times
投票在即 綠籲藍：別耍奧步,https://news.ltn.com.tw/news/focus/paper/553902,被槍擊事件後，民進黨所進行的操弄；當時邱義仁「一抹神秘的微笑」，至今許多人仍記得，現在邱是蔡英文的選戰策士，呼籲民進黨切勿惡意扭曲事實，更不應在選戰最後關頭進行政治操作。...,2012/1/13,Liberal Times
小英催票：一票都不能少,https://news.ltn.com.tw/news/focus/paper/553901,〔記者陳慧萍、李欣芳、羅正明／綜合報導〕明天就要投票，民進黨總統候選人蔡英文昨下達催票動員令，指選舉差距可能會「非常小」，呼籲在外地求學、工作的遊子務必返鄉投票，「一票都不能少」；至於選情，民進黨估計可...,2012/1/13,Liberal Times
蔡︰馬沒政績 只會販賣恐懼,https://news.ltn.com.tw/news/focus/paper/553900,"輪替 準備好了
〔記者陳慧萍、吳為恭、湯世名、蔡文正、張聰秋／綜合報導〕民進黨總統候選人蔡英文昨天連趕彰化、台中兩場造勢晚會。她痛批，馬政府沒有政績，只會恐嚇人民，說若不接受九二共識，兩岸關係和台灣經...",2012/1/13,Liberal Times
宇昌回憶錄,https://news.ltn.com.tw/news/opinion/paper/553898,"tech讓步，可是TaiMed Group卻找不到合適的董事長人選。
正好2007年5月蔡英文教授卸任行政院副院長。2007年6月我們以良博帶頭想到聘請當時已離開行政院的她來擔任董事長。這個異想天開的...",2012/1/13,Liberal Times
〈冷眼冷語〉無力者大聯合,https://news.ltn.com.tw/news/opinion/paper/553896,"置議會請願活動能席捲風潮，不就是為代表「全台無力者」追求最起碼甚至於最卑微的公平正義？
蔡英文在選戰最後階段楬櫫「公平正義」的主軸，不就是面對全台一％的「有力者」夸言中國磁吸效應對台灣的「好處」時，代...",2012/1/13,Liberal Times
選擇傾聽者,https://news.ltn.com.tw/news/opinion/paper/553889,"◎ 宋廷棟
蔡英文成為二○一二民進黨總統候選人之後的去年五月中，曾專程登門拜訪已故鄉土文學作家鍾鐵民老師，有幸陪同鐵民老師接待蔡女士。兩個月後的七月中，與鐵民老師閒談中提及此事。
鐵民老師印象最深刻...",2012/1/13,Liberal Times
不要換第一夫人 乾脆女人當總統,https://news.ltn.com.tw/news/opinion/paper/553888,"為喜愛周美青的朋友們指出一條明路。
首先，如果尊敬周美青又不想換人當第一夫人的話，就投給蔡英文，因為蔡英文當選，不會有任何人成為第一夫人，當然也就沒有人會取代周美青，而我們也可以引用棒球「永久...",2012/1/13,Liberal Times
台灣未來 不能賣 蔡籲選民 不要投買票的政黨、候選人,https://news.ltn.com.tw/news/focus/paper/553887,合報導〕明天就要投票，各地賄聲賄影，澎湖縣甚至傳出最高價碼萬元的買票行情。民進黨總統候選人蔡英文昨表示，這次總統和立委合併選舉，地方賄選傳聞不斷，甚至傳出「立委、總統一起買」，她強調民主的選票、台灣的未...,2012/1/13,Liberal Times
電話恐嚇炸死小英 警循線速逮鄭家豐,https://news.ltn.com.tw/news/politics/paper/553884,破兵種的男子鄭家豐，聲稱不滿先前遭苗栗縣立委候選人杜文卿的助理欺負毆打，向民進黨總統候選人蔡英文陣營投訴未果，昨下午涉嫌以手機撥打一一○，揚言要準備炸藥炸死蔡英文，警方立即組成專案小組追查，在案...,2012/1/13,Liberal Times
