titles,links,time,media
1.李批對手老 江反嗆靠爸族,https://udn.com/ndapp/Story?no=1&page=1&udndbid=udnfree&SearchString=vbKtXqTlK6TptME%2BPTIwMTExMTIyK6TptME8PTIwMTIwMTEzK7P4p089wXCmWLP4fLhnwNmk6bP4fMFwplix37P4fFVwYXBlcg%3D%3D&sharepage=50&select=1&kind=2&article_date=2012-01-13&news_id=6180118,2012-01-13,UDN
2.選前之夜、開票日 多處交管,https://udn.com/ndapp/Story?no=2&page=1&udndbid=udnfree&SearchString=vbKtXqTlK6TptME%2BPTIwMTExMTIyK6TptME8PTIwMTIwMTEzK7P4p089wXCmWLP4fLhnwNmk6bP4fMFwplix37P4fFVwYXBlcg%3D%3D&sharepage=50&select=1&kind=2&article_date=2012-01-13&news_id=6180114,2012-01-13,UDN
3.蕭萬長到平鎮 替呂玉玲站台,https://udn.com/ndapp/Story?no=3&page=1&udndbid=udnfree&SearchString=vbKtXqTlK6TptME%2BPTIwMTExMTIyK6TptME8PTIwMTIwMTEzK7P4p089wXCmWLP4fLhnwNmk6bP4fMFwplix37P4fFVwYXBlcg%3D%3D&sharepage=50&select=1&kind=2&article_date=2012-01-13&news_id=6180099,2012-01-13,UDN
4.陳根德、鄭文燦 短兵相接掃街,https://udn.com/ndapp/Story?no=4&page=1&udndbid=udnfree&SearchString=vbKtXqTlK6TptME%2BPTIwMTExMTIyK6TptME8PTIwMTIwMTEzK7P4p089wXCmWLP4fLhnwNmk6bP4fMFwplix37P4fFVwYXBlcg%3D%3D&sharepage=50&select=1&kind=2&article_date=2012-01-13&news_id=6180092,2012-01-13,UDN
5.網友Kuso照片 馬蔡宋組樂團,https://udn.com/ndapp/Story?no=5&page=1&udndbid=udnfree&SearchString=vbKtXqTlK6TptME%2BPTIwMTExMTIyK6TptME8PTIwMTIwMTEzK7P4p089wXCmWLP4fLhnwNmk6bP4fMFwplix37P4fFVwYXBlcg%3D%3D&sharepage=50&select=1&kind=2&article_date=2012-01-13&news_id=6180027,2012-01-13,UDN
6.謝廖正井爭取補助 婦嗆吳志揚,https://udn.com/ndapp/Story?no=6&page=1&udndbid=udnfree&SearchString=vbKtXqTlK6TptME%2BPTIwMTExMTIyK6TptME8PTIwMTIwMTEzK7P4p089wXCmWLP4fLhnwNmk6bP4fMFwplix37P4fFVwYXBlcg%3D%3D&sharepage=50&select=1&kind=2&article_date=2012-01-13&news_id=6180096,2012-01-13,UDN
7.小黨夾縫求生「撩落去」 街頭說唱,https://udn.com/ndapp/Story?no=7&page=1&udndbid=udnfree&SearchString=vbKtXqTlK6TptME%2BPTIwMTExMTIyK6TptME8PTIwMTIwMTEzK7P4p089wXCmWLP4fLhnwNmk6bP4fMFwplix37P4fFVwYXBlcg%3D%3D&sharepage=50&select=1&kind=2&article_date=2012-01-13&news_id=6180089,2012-01-13,UDN
8.重機助陣李進勇 大咖力挺張嘉郡,https://udn.com/ndapp/Story?no=8&page=1&udndbid=udnfree&SearchString=vbKtXqTlK6TptME%2BPTIwMTExMTIyK6TptME8PTIwMTIwMTEzK7P4p089wXCmWLP4fLhnwNmk6bP4fMFwplix37P4fFVwYXBlcg%3D%3D&sharepage=50&select=1&kind=2&article_date=2012-01-13&news_id=6180121,2012-01-13,UDN
9.林瑞雄永康拜票 攤販送鴨頭,https://udn.com/ndapp/Story?no=9&page=1&udndbid=udnfree&SearchString=vbKtXqTlK6TptME%2BPTIwMTExMTIyK6TptME8PTIwMTIwMTEzK7P4p089wXCmWLP4fLhnwNmk6bP4fMFwplix37P4fFVwYXBlcg%3D%3D&sharepage=50&select=1&kind=2&article_date=2012-01-13&news_id=6179868,2012-01-13,UDN
10.為陳定南討公道 林、陳再激辯,https://udn.com/ndapp/Story?no=10&page=1&udndbid=udnfree&SearchString=vbKtXqTlK6TptME%2BPTIwMTExMTIyK6TptME8PTIwMTIwMTEzK7P4p089wXCmWLP4fLhnwNmk6bP4fMFwplix37P4fFVwYXBlcg%3D%3D&sharepage=50&select=1&kind=2&article_date=2012-01-13&news_id=6179848,2012-01-13,UDN
